case_id,customer_type,case_description,category,priority,assigned_team,status,submission_date,sla_days,resolution_notes
CASE-0001,Small Business,Direct debit was declined and the customer needs the payment issue reviewed.,Payment Issue,Medium,Payments Team,Escalated,2026-06-27,7,
CASE-0002,Public Body,Possible duplicate claim submitted with suspicious supporting details.,Compliance/Fraud,High,Compliance Team,New,2026-03-28,3,Closed after synthetic validation and customer notification.
CASE-0003,Individual,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,In Progress,2026-04-16,7,
CASE-0004,Public Body,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,In Progress,2026-06-01,3,
CASE-0005,Charity,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,Escalated,2026-03-31,3,Routed to specialist team for review.
CASE-0006,Individual,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,In Progress,2026-05-04,14,Escalated due to SLA risk and case complexity.
CASE-0007,Small Business,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,In Progress,2026-04-02,3,
CASE-0008,Charity,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,In Progress,2026-03-25,3,
CASE-0009,Public Body,Direct debit was declined and the customer needs the payment issue reviewed.,Payment Issue,Medium,Payments Team,Closed,2026-05-16,7,Closed after synthetic review; no real customer data used.
CASE-0010,Public Body,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,New,2026-03-19,14,Initial checks completed; awaiting customer response.
CASE-0011,Agent,Direct debit was declined and the customer needs the payment issue reviewed.,Payment Issue,Medium,Payments Team,In Progress,2026-03-04,7,Routed to specialist team for review.
CASE-0012,Public Body,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,Closed,2026-03-09,14,Closed after synthetic review; no real customer data used.
CASE-0013,Small Business,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,New,2026-04-01,3,Closed after synthetic validation and customer notification.
CASE-0014,Individual,General query about how to update account contact details.,General Query,Low,Customer Support,Closed,2026-06-20,14,Closed after synthetic review; no real customer data used.
CASE-0015,Agent,Failed card payment caused an incorrect charge to appear twice.,Payment Issue,Medium,Payments Team,In Progress,2026-05-26,7,Escalated due to SLA risk and case complexity.
CASE-0016,Agent,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,In Progress,2026-05-14,3,Closed after synthetic validation and customer notification.
CASE-0017,Small Business,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,Escalated,2026-04-14,7,Routed to specialist team for review.
CASE-0018,Public Body,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,In Progress,2026-05-02,3,Closed after synthetic validation and customer notification.
CASE-0019,Individual,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,In Progress,2026-04-04,14,Escalated due to SLA risk and case complexity.
CASE-0020,Charity,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,New,2026-03-17,14,
CASE-0021,Agent,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,New,2026-06-22,14,Routed to specialist team for review.
CASE-0022,Charity,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,In Progress,2026-04-08,3,Closed after synthetic validation and customer notification.
CASE-0023,Public Body,Possible duplicate claim submitted with suspicious supporting details.,Compliance/Fraud,High,Compliance Team,New,2026-05-28,3,Closed after synthetic validation and customer notification.
CASE-0024,Public Body,General question about service hours and expected response times.,General Query,Low,Customer Support,Escalated,2026-05-28,14,Initial checks completed; awaiting customer response.
CASE-0025,Public Body,Failed card payment caused an incorrect charge to appear twice.,Payment Issue,Medium,Payments Team,New,2026-05-15,7,
CASE-0026,Individual,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,Closed,2026-06-19,14,Closed after synthetic review; no real customer data used.
CASE-0027,Charity,Possible duplicate claim submitted with suspicious supporting details.,Compliance/Fraud,High,Compliance Team,New,2026-04-11,3,Closed after synthetic validation and customer notification.
CASE-0028,Charity,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,In Progress,2026-06-22,14,Routed to specialist team for review.
CASE-0029,Individual,Urgent legal concern about suspicious changes to a submitted case.,Compliance/Fraud,High,Compliance Team,Closed,2026-05-29,3,Closed after synthetic review; no real customer data used.
CASE-0030,Agent,Direct debit was declined and the customer needs the payment issue reviewed.,Payment Issue,Medium,Payments Team,Closed,2026-04-04,7,Closed after synthetic review; no real customer data used.
CASE-0031,Charity,Customer asks for guidance about a deadline and available support options.,General Query,Low,Customer Support,In Progress,2026-06-16,14,
CASE-0032,Agent,Customer reports a refund delay after an overpayment adjustment.,Refund,Medium,Refunds Team,Closed,2026-03-30,7,Closed after synthetic review; no real customer data used.
CASE-0033,Agent,Urgent legal concern about suspicious changes to a submitted case.,Compliance/Fraud,High,Compliance Team,New,2026-03-25,3,
CASE-0034,Small Business,Urgent legal concern about suspicious changes to a submitted case.,Compliance/Fraud,High,Compliance Team,New,2026-04-14,3,
CASE-0035,Individual,General question about service hours and expected response times.,General Query,Low,Customer Support,Closed,2026-03-23,14,Closed after synthetic review; no real customer data used.
CASE-0036,Agent,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,In Progress,2026-05-20,14,
CASE-0037,Individual,General query about how to update account contact details.,General Query,Low,Customer Support,New,2026-05-31,14,Routed to specialist team for review.
CASE-0038,Public Body,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,In Progress,2026-03-29,7,
CASE-0039,Small Business,Possible duplicate claim submitted with suspicious supporting details.,Compliance/Fraud,High,Compliance Team,Escalated,2026-06-14,3,Routed to specialist team for review.
CASE-0040,Charity,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,Closed,2026-04-24,14,Closed after synthetic review; no real customer data used.
CASE-0041,Small Business,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,In Progress,2026-03-04,3,Closed after synthetic validation and customer notification.
CASE-0042,Agent,General query about how to update account contact details.,General Query,Low,Customer Support,Closed,2026-05-10,14,Closed after synthetic review; no real customer data used.
CASE-0043,Small Business,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,In Progress,2026-03-07,3,
CASE-0044,Public Body,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,In Progress,2026-06-22,14,Routed to specialist team for review.
CASE-0045,Individual,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,New,2026-04-16,14,
CASE-0046,Agent,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,Closed,2026-06-22,14,Closed after synthetic review; no real customer data used.
CASE-0047,Charity,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,New,2026-04-26,7,Closed after synthetic validation and customer notification.
CASE-0048,Public Body,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,New,2026-04-22,3,Routed to specialist team for review.
CASE-0049,Charity,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,Closed,2026-05-30,14,Closed after synthetic review; no real customer data used.
CASE-0050,Agent,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,New,2026-06-18,3,Initial checks completed; awaiting customer response.
CASE-0051,Individual,Refund delay after a repayment calculation was corrected.,Refund,Medium,Refunds Team,In Progress,2026-05-09,7,Closed after synthetic validation and customer notification.
CASE-0052,Individual,Direct debit was declined and the customer needs the payment issue reviewed.,Payment Issue,Medium,Payments Team,In Progress,2026-06-23,7,
CASE-0053,Small Business,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,New,2026-06-06,14,Initial checks completed; awaiting customer response.
CASE-0054,Individual,Refund delay after a repayment calculation was corrected.,Refund,Medium,Refunds Team,New,2026-06-07,7,
CASE-0055,Public Body,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,Closed,2026-03-19,3,Closed after synthetic review; no real customer data used.
CASE-0056,Individual,Direct debit was declined and the customer needs the payment issue reviewed.,Payment Issue,Medium,Payments Team,Escalated,2026-06-24,7,Routed to specialist team for review.
CASE-0057,Small Business,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,Closed,2026-03-04,7,Closed after synthetic review; no real customer data used.
CASE-0058,Charity,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,In Progress,2026-05-09,3,
CASE-0059,Agent,A refund appears to have been approved but has not reached the account.,Refund,Medium,Refunds Team,In Progress,2026-06-09,7,Initial checks completed; awaiting customer response.
CASE-0060,Public Body,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,In Progress,2026-05-25,3,Closed after synthetic validation and customer notification.
CASE-0061,Individual,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,New,2026-06-11,14,
CASE-0062,Agent,Payment issue: bank transfer reference was entered incorrectly.,Payment Issue,Medium,Payments Team,In Progress,2026-03-28,7,Closed after synthetic validation and customer notification.
CASE-0063,Public Body,A refund appears to have been approved but has not reached the account.,Refund,Medium,Refunds Team,In Progress,2026-06-24,7,Routed to specialist team for review.
CASE-0064,Individual,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,Closed,2026-06-23,3,Closed after synthetic review; no real customer data used.
